date,4. close,2. high,1. open,3. low,5. volume
2004-10-27,185.97,189.52,182.29,185.97,26686200.0
2004-10-28,193.3,194.39,186.63,193.3,29663900.0
2004-10-29,190.64,199.95,198.87,190.64,42282600.0
2004-11-01,196.03,197.6677,193.5,196.03,24425300.0
2004-11-02,194.87,199.25,198.73,194.87,22669900.0
2004-11-03,191.67,201.6,198.1831,191.67,27749600.0
2004-11-04,184.7,190.4,188.25,184.7,28790300.0
2004-11-05,169.35,182.3,182.0,169.35,39626500.0
2004-11-08,172.55,175.44,170.93,172.55,22361200.0
2004-11-09,168.7,175.2,174.1,168.7,22106200.0
2004-11-10,167.86,172.52,170.67,167.86,21266700.0
2004-11-11,183.02,183.75,169.13,183.02,29941000.0
2004-11-12,182.0,189.8,185.23,182.0,33458700.0
2004-11-15,184.87,188.32,180.45,184.87,23779100.0
2004-11-16,172.545,179.47,177.5,172.545,41792900.0
2004-11-17,172.5,177.5,169.02,172.5,36229500.0
2004-11-18,167.54,174.42,170.4,167.54,33225900.0
2004-11-19,169.4,169.98,169.06,169.4,17521000.0
2004-11-22,165.1,169.5,168.645,165.1,24711600.0
2004-11-23,167.52,170.83,167.915,167.52,24801700.0
2004-11-24,174.76,177.21,174.84,174.76,30531400.0
2004-11-26,179.39,180.03,175.8,179.39,12947200.0
2004-11-29,181.05,182.95,180.255,181.05,21311800.0
2004-11-30,181.98,183.0,180.7,181.98,15384600.0
2004-12-01,179.96,182.5,181.77,179.96,15712400.0
2004-12-02,179.4,181.51,179.9,179.4,12509200.0
2004-12-03,180.4,181.06,179.88,180.4,11726600.0
2004-12-06,176.29,180.7,179.13,176.29,12495400.0
2004-12-07,171.43,176.2,176.0,171.43,13728000.0
2004-12-08,169.98,173.68,170.57,169.98,15068500.0
2004-12-09,173.43,173.5,170.25,173.43,15292600.0
2004-12-10,171.65,174.88,173.43,171.65,8625700.0
2004-12-13,170.45,173.18,172.03,170.45,9627500.0
2004-12-14,178.69,178.82,171.0,178.69,22154600.0
2004-12-15,179.78,180.69,177.99,179.78,22919000.0
2004-12-16,176.47,180.49,177.22,176.47,17128400.0
2004-12-17,180.08,180.5,176.76,180.08,14757600.0
2004-12-20,185.02,188.46,182.0,185.02,19649300.0
2004-12-21,183.75,187.88,186.2783,183.75,11021500.0
2004-12-22,186.3,186.85,183.9,186.2941,7806100.0
2004-12-23,187.9,188.6,187.45,187.9,7221900.0
2004-12-27,191.91,193.3,189.15,191.91,12195900.0
2004-12-28,192.76,193.55,192.11,192.76,8283300.0
2004-12-29,192.9,193.52,191.97,192.9,5350800.0
2004-12-30,197.6,198.23,192.97,197.6082,11796700.0
2004-12-31,192.79,199.88,199.23,192.79,15321600.0
2005-01-03,202.71,203.64,197.4,202.7191,31656700.0
2005-01-04,194.5,202.93,201.33,194.5,27484200.0
2005-01-05,193.51,196.9,193.45,193.5162,16456700.0
2005-01-06,188.55,195.9,195.25,188.55,20753400.0
2005-01-07,193.85,194.25,190.64,193.85,19306400.0
